,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Akakom DA Primary,Fri,Feb,10,08:32:14,2017,8,32,14,Akakom DA Primary_Fri_Feb_10_08:32:14_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_08:32:14_2017.avi
1,Akakom DA Primary,Fri,Feb,10,08:33:20,2017,8,33,20,Akakom DA Primary_Fri_Feb_10_08:33:20_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_08:33:20_2017.avi
2,Akakom DA Primary,Fri,Feb,10,08:45:04,2017,8,45,4,Akakom DA Primary_Fri_Feb_10_08:45:04_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_08:45:04_2017.avi
3,Akakom DA Primary,Fri,Feb,10,08:50:56,2017,8,50,56,Akakom DA Primary_Fri_Feb_10_08:50:56_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_08:50:56_2017.avi
4,Akakom DA Primary,Fri,Feb,10,08:54:32,2017,8,54,32,Akakom DA Primary_Fri_Feb_10_08:54:32_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_08:54:32_2017.avi
5,Akakom DA Primary,Fri,Feb,10,08:58:24,2017,8,58,24,Akakom DA Primary_Fri_Feb_10_08:58:24_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_08:58:24_2017.avi
6,Akakom DA Primary,Fri,Feb,10,08:58:58,2017,8,58,58,Akakom DA Primary_Fri_Feb_10_08:58:58_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_08:58:58_2017.avi
7,Akakom DA Primary,Fri,Feb,10,08:59:34,2017,8,59,34,Akakom DA Primary_Fri_Feb_10_08:59:34_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_08:59:34_2017.avi
8,Akakom DA Primary,Fri,Feb,10,09:00:22,2017,9,0,22,Akakom DA Primary_Fri_Feb_10_09:00:22_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_09:00:22_2017.avi
9,Akakom DA Primary,Fri,Feb,10,09:02:50,2017,9,2,50,Akakom DA Primary_Fri_Feb_10_09:02:50_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_09:02:50_2017.avi
10,Akakom DA Primary,Fri,Feb,10,09:04:06,2017,9,4,6,Akakom DA Primary_Fri_Feb_10_09:04:06_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_09:04:06_2017.avi
11,Akakom DA Primary,Fri,Feb,10,09:04:42,2017,9,4,42,Akakom DA Primary_Fri_Feb_10_09:04:42_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_09:04:42_2017.avi
12,Akakom DA Primary,Fri,Feb,10,09:05:16,2017,9,5,16,Akakom DA Primary_Fri_Feb_10_09:05:16_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_09:05:16_2017.avi
13,Akakom DA Primary,Fri,Feb,10,09:05:46,2017,9,5,46,Akakom DA Primary_Fri_Feb_10_09:05:46_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_09:05:46_2017.avi
14,Akakom DA Primary,Fri,Feb,10,09:06:22,2017,9,6,22,Akakom DA Primary_Fri_Feb_10_09:06:22_2017.avi,/Volumes/Seagate/MY_COPY/Akakom DA Primary/Akakom DA Primary_Fri_Feb_10_09:06:22_2017.avi
