,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Akropong Presby Primary,Fri,Feb,10,08:38:36,2017,8,38,36,Akropong Presby Primary_Fri_Feb_10_08:38:36_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_08:38:36_2017.avi
1,Akropong Presby Primary,Fri,Feb,10,08:43:28,2017,8,43,28,Akropong Presby Primary_Fri_Feb_10_08:43:28_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_08:43:28_2017.avi
2,Akropong Presby Primary,Fri,Feb,10,08:44:42,2017,8,44,42,Akropong Presby Primary_Fri_Feb_10_08:44:42_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_08:44:42_2017.avi
3,Akropong Presby Primary,Fri,Feb,10,09:16:32,2017,9,16,32,Akropong Presby Primary_Fri_Feb_10_09:16:32_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_09:16:32_2017.avi
4,Akropong Presby Primary,Fri,Feb,10,09:24:52,2017,9,24,52,Akropong Presby Primary_Fri_Feb_10_09:24:52_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_09:24:52_2017.avi
5,Akropong Presby Primary,Fri,Feb,10,09:25:26,2017,9,25,26,Akropong Presby Primary_Fri_Feb_10_09:25:26_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_09:25:26_2017.avi
6,Akropong Presby Primary,Fri,Feb,10,09:26:00,2017,9,26,0,Akropong Presby Primary_Fri_Feb_10_09:26:00_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_09:26:00_2017.avi
7,Akropong Presby Primary,Fri,Feb,10,09:26:40,2017,9,26,40,Akropong Presby Primary_Fri_Feb_10_09:26:40_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_09:26:40_2017.avi
8,Akropong Presby Primary,Fri,Feb,10,09:42:04,2017,9,42,4,Akropong Presby Primary_Fri_Feb_10_09:42:04_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_09:42:04_2017.avi
9,Akropong Presby Primary,Fri,Feb,10,09:42:50,2017,9,42,50,Akropong Presby Primary_Fri_Feb_10_09:42:50_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_09:42:50_2017.avi
10,Akropong Presby Primary,Fri,Feb,10,10:03:38,2017,10,3,38,Akropong Presby Primary_Fri_Feb_10_10:03:38_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:03:38_2017.avi
11,Akropong Presby Primary,Fri,Feb,10,10:04:12,2017,10,4,12,Akropong Presby Primary_Fri_Feb_10_10:04:12_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:04:12_2017.avi
12,Akropong Presby Primary,Fri,Feb,10,10:08:50,2017,10,8,50,Akropong Presby Primary_Fri_Feb_10_10:08:50_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:08:50_2017.avi
13,Akropong Presby Primary,Fri,Feb,10,10:16:54,2017,10,16,54,Akropong Presby Primary_Fri_Feb_10_10:16:54_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:16:54_2017.avi
14,Akropong Presby Primary,Fri,Feb,10,10:17:30,2017,10,17,30,Akropong Presby Primary_Fri_Feb_10_10:17:30_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:17:30_2017.avi
15,Akropong Presby Primary,Fri,Feb,10,10:20:02,2017,10,20,2,Akropong Presby Primary_Fri_Feb_10_10:20:02_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:20:02_2017.avi
16,Akropong Presby Primary,Fri,Feb,10,10:20:58,2017,10,20,58,Akropong Presby Primary_Fri_Feb_10_10:20:58_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:20:58_2017.avi
17,Akropong Presby Primary,Fri,Feb,10,10:23:58,2017,10,23,58,Akropong Presby Primary_Fri_Feb_10_10:23:58_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:23:58_2017.avi
18,Akropong Presby Primary,Fri,Feb,10,10:24:30,2017,10,24,30,Akropong Presby Primary_Fri_Feb_10_10:24:30_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:24:30_2017.avi
19,Akropong Presby Primary,Fri,Feb,10,10:26:06,2017,10,26,6,Akropong Presby Primary_Fri_Feb_10_10:26:06_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:26:06_2017.avi
20,Akropong Presby Primary,Fri,Feb,10,10:26:40,2017,10,26,40,Akropong Presby Primary_Fri_Feb_10_10:26:40_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:26:40_2017.avi
21,Akropong Presby Primary,Fri,Feb,10,10:27:12,2017,10,27,12,Akropong Presby Primary_Fri_Feb_10_10:27:12_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:27:12_2017.avi
22,Akropong Presby Primary,Fri,Feb,10,10:27:46,2017,10,27,46,Akropong Presby Primary_Fri_Feb_10_10:27:46_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:27:46_2017.avi
23,Akropong Presby Primary,Fri,Feb,10,10:28:22,2017,10,28,22,Akropong Presby Primary_Fri_Feb_10_10:28:22_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:28:22_2017.avi
24,Akropong Presby Primary,Fri,Feb,10,10:31:00,2017,10,31,0,Akropong Presby Primary_Fri_Feb_10_10:31:00_2017.avi,/Volumes/Seagate/MY_COPY/Akropong Presby Primary/Akropong Presby Primary_Fri_Feb_10_10:31:00_2017.avi
