,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Asafo Presby Primary,Fri,Feb,24,08:46:18,2017,8,46,18,Asafo Presby Primary_Fri_Feb_24_08:46:18_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_08:46:18_2017.avi
1,Asafo Presby Primary,Fri,Feb,24,08:51:28,2017,8,51,28,Asafo Presby Primary_Fri_Feb_24_08:51:28_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_08:51:28_2017.avi
2,Asafo Presby Primary,Fri,Feb,24,08:56:14,2017,8,56,14,Asafo Presby Primary_Fri_Feb_24_08:56:14_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_08:56:14_2017.avi
3,Asafo Presby Primary,Fri,Feb,24,09:09:36,2017,9,9,36,Asafo Presby Primary_Fri_Feb_24_09:09:36_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_09:09:36_2017.avi
4,Asafo Presby Primary,Fri,Feb,24,09:10:06,2017,9,10,6,Asafo Presby Primary_Fri_Feb_24_09:10:06_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_09:10:06_2017.avi
5,Asafo Presby Primary,Fri,Feb,24,09:26:40,2017,9,26,40,Asafo Presby Primary_Fri_Feb_24_09:26:40_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_09:26:40_2017.avi
6,Asafo Presby Primary,Fri,Feb,24,09:30:30,2017,9,30,30,Asafo Presby Primary_Fri_Feb_24_09:30:30_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_09:30:30_2017.avi
7,Asafo Presby Primary,Fri,Feb,24,09:31:02,2017,9,31,2,Asafo Presby Primary_Fri_Feb_24_09:31:02_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_09:31:02_2017.avi
8,Asafo Presby Primary,Fri,Feb,24,09:31:44,2017,9,31,44,Asafo Presby Primary_Fri_Feb_24_09:31:44_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_09:31:44_2017.avi
9,Asafo Presby Primary,Fri,Feb,24,09:32:34,2017,9,32,34,Asafo Presby Primary_Fri_Feb_24_09:32:34_2017.avi,/Volumes/Seagate/MY_COPY/Asafo Presby Primary/Asafo Presby Primary_Fri_Feb_24_09:32:34_2017.avi
