,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Asamama Presby Primary,Fri,Feb,10,09:13:40,2017,9,13,40,Asamama Presby Primary_Fri_Feb_10_09:13:40_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_09:13:40_2017.avi
1,Asamama Presby Primary,Fri,Feb,10,09:15:08,2017,9,15,8,Asamama Presby Primary_Fri_Feb_10_09:15:08_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_09:15:08_2017.avi
2,Asamama Presby Primary,Fri,Feb,10,09:16:08,2017,9,16,8,Asamama Presby Primary_Fri_Feb_10_09:16:08_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_09:16:08_2017.avi
3,Asamama Presby Primary,Fri,Feb,10,09:44:30,2017,9,44,30,Asamama Presby Primary_Fri_Feb_10_09:44:30_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_09:44:30_2017.avi
4,Asamama Presby Primary,Fri,Feb,10,09:45:06,2017,9,45,6,Asamama Presby Primary_Fri_Feb_10_09:45:06_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_09:45:06_2017.avi
5,Asamama Presby Primary,Fri,Feb,10,09:45:44,2017,9,45,44,Asamama Presby Primary_Fri_Feb_10_09:45:44_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_09:45:44_2017.avi
6,Asamama Presby Primary,Fri,Feb,10,09:51:04,2017,9,51,4,Asamama Presby Primary_Fri_Feb_10_09:51:04_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_09:51:04_2017.avi
7,Asamama Presby Primary,Fri,Feb,10,09:51:42,2017,9,51,42,Asamama Presby Primary_Fri_Feb_10_09:51:42_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_09:51:42_2017.avi
8,Asamama Presby Primary,Fri,Feb,10,10:46:08,2017,10,46,8,Asamama Presby Primary_Fri_Feb_10_10:46:08_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_10:46:08_2017.avi
9,Asamama Presby Primary,Fri,Feb,10,10:47:24,2017,10,47,24,Asamama Presby Primary_Fri_Feb_10_10:47:24_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_10:47:24_2017.avi
10,Asamama Presby Primary,Fri,Feb,10,11:28:56,2017,11,28,56,Asamama Presby Primary_Fri_Feb_10_11:28:56_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_11:28:56_2017.avi
11,Asamama Presby Primary,Fri,Feb,10,11:36:58,2017,11,36,58,Asamama Presby Primary_Fri_Feb_10_11:36:58_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_11:36:58_2017.avi
12,Asamama Presby Primary,Fri,Feb,10,11:37:36,2017,11,37,36,Asamama Presby Primary_Fri_Feb_10_11:37:36_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_11:37:36_2017.avi
13,Asamama Presby Primary,Fri,Feb,10,11:39:04,2017,11,39,4,Asamama Presby Primary_Fri_Feb_10_11:39:04_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_11:39:04_2017.avi
14,Asamama Presby Primary,Fri,Feb,10,12:17:34,2017,12,17,34,Asamama Presby Primary_Fri_Feb_10_12:17:34_2017.avi,/Volumes/Seagate/MY_COPY/Asamama Presby Primary/Asamama Presby Primary_Fri_Feb_10_12:17:34_2017.avi
