,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Awutu AME Zion,Fri,Feb,10,08:37:52,2017,8,37,52,Awutu AME Zion_Fri_Feb_10_08:37:52_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_08:37:52_2017.avi
1,Awutu AME Zion,Fri,Feb,10,08:38:36,2017,8,38,36,Awutu AME Zion_Fri_Feb_10_08:38:36_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_08:38:36_2017.avi
2,Awutu AME Zion,Fri,Feb,10,08:42:46,2017,8,42,46,Awutu AME Zion_Fri_Feb_10_08:42:46_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_08:42:46_2017.avi
3,Awutu AME Zion,Fri,Feb,10,08:47:18,2017,8,47,18,Awutu AME Zion_Fri_Feb_10_08:47:18_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_08:47:18_2017.avi
4,Awutu AME Zion,Fri,Feb,10,09:03:00,2017,9,3,0,Awutu AME Zion_Fri_Feb_10_09:03:00_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_09:03:00_2017.avi
5,Awutu AME Zion,Fri,Feb,10,09:10:16,2017,9,10,16,Awutu AME Zion_Fri_Feb_10_09:10:16_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_09:10:16_2017.avi
6,Awutu AME Zion,Fri,Feb,10,09:24:56,2017,9,24,56,Awutu AME Zion_Fri_Feb_10_09:24:56_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_09:24:56_2017.avi
7,Awutu AME Zion,Fri,Feb,10,09:26:00,2017,9,26,0,Awutu AME Zion_Fri_Feb_10_09:26:00_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_09:26:00_2017.avi
8,Awutu AME Zion,Fri,Feb,10,10:04:06,2017,10,4,6,Awutu AME Zion_Fri_Feb_10_10:04:06_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_10:04:06_2017.avi
9,Awutu AME Zion,Fri,Feb,10,10:04:38,2017,10,4,38,Awutu AME Zion_Fri_Feb_10_10:04:38_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_10:04:38_2017.avi
10,Awutu AME Zion,Fri,Feb,10,10:16:40,2017,10,16,40,Awutu AME Zion_Fri_Feb_10_10:16:40_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_10:16:40_2017.avi
11,Awutu AME Zion,Fri,Feb,10,10:27:32,2017,10,27,32,Awutu AME Zion_Fri_Feb_10_10:27:32_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_10:27:32_2017.avi
12,Awutu AME Zion,Fri,Feb,10,10:29:06,2017,10,29,6,Awutu AME Zion_Fri_Feb_10_10:29:06_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_10:29:06_2017.avi
13,Awutu AME Zion,Fri,Feb,10,10:38:24,2017,10,38,24,Awutu AME Zion_Fri_Feb_10_10:38:24_2017.avi,/Volumes/Seagate/MY_COPY/Awutu AME Zion/Awutu AME Zion_Fri_Feb_10_10:38:24_2017.avi
