,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Ayinam Presby Primary,Fri,Feb,24,07:43:26,2017,7,43,26,Ayinam Presby Primary_Fri_Feb_24_07:43:26_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_07:43:26_2017.avi
1,Ayinam Presby Primary,Fri,Feb,24,08:15:22,2017,8,15,22,Ayinam Presby Primary_Fri_Feb_24_08:15:22_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_08:15:22_2017.avi
2,Ayinam Presby Primary,Fri,Feb,24,08:15:58,2017,8,15,58,Ayinam Presby Primary_Fri_Feb_24_08:15:58_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_08:15:58_2017.avi
3,Ayinam Presby Primary,Fri,Feb,24,08:16:42,2017,8,16,42,Ayinam Presby Primary_Fri_Feb_24_08:16:42_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_08:16:42_2017.avi
4,Ayinam Presby Primary,Fri,Feb,24,08:23:26,2017,8,23,26,Ayinam Presby Primary_Fri_Feb_24_08:23:26_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_08:23:26_2017.avi
5,Ayinam Presby Primary,Fri,Feb,24,08:24:10,2017,8,24,10,Ayinam Presby Primary_Fri_Feb_24_08:24:10_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_08:24:10_2017.avi
6,Ayinam Presby Primary,Fri,Feb,24,08:38:40,2017,8,38,40,Ayinam Presby Primary_Fri_Feb_24_08:38:40_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_08:38:40_2017.avi
7,Ayinam Presby Primary,Fri,Feb,24,08:39:30,2017,8,39,30,Ayinam Presby Primary_Fri_Feb_24_08:39:30_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_08:39:30_2017.avi
8,Ayinam Presby Primary,Fri,Feb,24,09:38:16,2017,9,38,16,Ayinam Presby Primary_Fri_Feb_24_09:38:16_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_09:38:16_2017.avi
9,Ayinam Presby Primary,Fri,Feb,24,09:38:52,2017,9,38,52,Ayinam Presby Primary_Fri_Feb_24_09:38:52_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_09:38:52_2017.avi
10,Ayinam Presby Primary,Fri,Feb,24,09:39:22,2017,9,39,22,Ayinam Presby Primary_Fri_Feb_24_09:39:22_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_09:39:22_2017.avi
11,Ayinam Presby Primary,Fri,Feb,24,10:12:20,2017,10,12,20,Ayinam Presby Primary_Fri_Feb_24_10:12:20_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:12:20_2017.avi
12,Ayinam Presby Primary,Fri,Feb,24,10:18:52,2017,10,18,52,Ayinam Presby Primary_Fri_Feb_24_10:18:52_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:18:52_2017.avi
13,Ayinam Presby Primary,Fri,Feb,24,10:19:52,2017,10,19,52,Ayinam Presby Primary_Fri_Feb_24_10:19:52_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:19:52_2017.avi
14,Ayinam Presby Primary,Fri,Feb,24,10:20:36,2017,10,20,36,Ayinam Presby Primary_Fri_Feb_24_10:20:36_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:20:36_2017.avi
15,Ayinam Presby Primary,Fri,Feb,24,10:40:00,2017,10,40,0,Ayinam Presby Primary_Fri_Feb_24_10:40:00_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:40:00_2017.avi
16,Ayinam Presby Primary,Fri,Feb,24,10:40:40,2017,10,40,40,Ayinam Presby Primary_Fri_Feb_24_10:40:40_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:40:40_2017.avi
17,Ayinam Presby Primary,Fri,Feb,24,10:41:10,2017,10,41,10,Ayinam Presby Primary_Fri_Feb_24_10:41:10_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:41:10_2017.avi
18,Ayinam Presby Primary,Fri,Feb,24,10:41:42,2017,10,41,42,Ayinam Presby Primary_Fri_Feb_24_10:41:42_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:41:42_2017.avi
19,Ayinam Presby Primary,Fri,Feb,24,10:42:16,2017,10,42,16,Ayinam Presby Primary_Fri_Feb_24_10:42:16_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:42:16_2017.avi
20,Ayinam Presby Primary,Fri,Feb,24,10:42:50,2017,10,42,50,Ayinam Presby Primary_Fri_Feb_24_10:42:50_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:42:50_2017.avi
21,Ayinam Presby Primary,Fri,Feb,24,10:43:24,2017,10,43,24,Ayinam Presby Primary_Fri_Feb_24_10:43:24_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:43:24_2017.avi
22,Ayinam Presby Primary,Fri,Feb,24,10:44:02,2017,10,44,2,Ayinam Presby Primary_Fri_Feb_24_10:44:02_2017.avi,/Volumes/Seagate/MY_COPY/Ayinam Presby Primary/Ayinam Presby Primary_Fri_Feb_24_10:44:02_2017.avi
