,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Gyesikrom AEDA Primary,Fri,Feb,10,08:26:58,2017,8,26,58,Gyesikrom AEDA Primary_Fri_Feb_10_08:26:58_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_08:26:58_2017.avi
1,Gyesikrom AEDA Primary,Fri,Feb,10,08:38:42,2017,8,38,42,Gyesikrom AEDA Primary_Fri_Feb_10_08:38:42_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_08:38:42_2017.avi
2,Gyesikrom AEDA Primary,Fri,Feb,10,09:15:52,2017,9,15,52,Gyesikrom AEDA Primary_Fri_Feb_10_09:15:52_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_09:15:52_2017.avi
3,Gyesikrom AEDA Primary,Fri,Feb,10,09:35:28,2017,9,35,28,Gyesikrom AEDA Primary_Fri_Feb_10_09:35:28_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_09:35:28_2017.avi
4,Gyesikrom AEDA Primary,Fri,Feb,10,09:40:54,2017,9,40,54,Gyesikrom AEDA Primary_Fri_Feb_10_09:40:54_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_09:40:54_2017.avi
5,Gyesikrom AEDA Primary,Fri,Feb,10,10:02:20,2017,10,2,20,Gyesikrom AEDA Primary_Fri_Feb_10_10:02:20_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_10:02:20_2017.avi
6,Gyesikrom AEDA Primary,Fri,Feb,10,10:12:46,2017,10,12,46,Gyesikrom AEDA Primary_Fri_Feb_10_10:12:46_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_10:12:46_2017.avi
7,Gyesikrom AEDA Primary,Fri,Feb,10,10:15:12,2017,10,15,12,Gyesikrom AEDA Primary_Fri_Feb_10_10:15:12_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_10:15:12_2017.avi
8,Gyesikrom AEDA Primary,Fri,Feb,10,10:39:04,2017,10,39,4,Gyesikrom AEDA Primary_Fri_Feb_10_10:39:04_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_10:39:04_2017.avi
9,Gyesikrom AEDA Primary,Fri,Feb,10,10:42:44,2017,10,42,44,Gyesikrom AEDA Primary_Fri_Feb_10_10:42:44_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_10:42:44_2017.avi
10,Gyesikrom AEDA Primary,Fri,Feb,10,10:56:38,2017,10,56,38,Gyesikrom AEDA Primary_Fri_Feb_10_10:56:38_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_10:56:38_2017.avi
11,Gyesikrom AEDA Primary,Fri,Feb,10,11:04:22,2017,11,4,22,Gyesikrom AEDA Primary_Fri_Feb_10_11:04:22_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:04:22_2017.avi
12,Gyesikrom AEDA Primary,Fri,Feb,10,11:04:56,2017,11,4,56,Gyesikrom AEDA Primary_Fri_Feb_10_11:04:56_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:04:56_2017.avi
13,Gyesikrom AEDA Primary,Fri,Feb,10,11:12:22,2017,11,12,22,Gyesikrom AEDA Primary_Fri_Feb_10_11:12:22_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:12:22_2017.avi
14,Gyesikrom AEDA Primary,Fri,Feb,10,11:14:20,2017,11,14,20,Gyesikrom AEDA Primary_Fri_Feb_10_11:14:20_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:14:20_2017.avi
15,Gyesikrom AEDA Primary,Fri,Feb,10,11:14:54,2017,11,14,54,Gyesikrom AEDA Primary_Fri_Feb_10_11:14:54_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:14:54_2017.avi
16,Gyesikrom AEDA Primary,Fri,Feb,10,11:16:50,2017,11,16,50,Gyesikrom AEDA Primary_Fri_Feb_10_11:16:50_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:16:50_2017.avi
17,Gyesikrom AEDA Primary,Fri,Feb,10,11:34:36,2017,11,34,36,Gyesikrom AEDA Primary_Fri_Feb_10_11:34:36_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:34:36_2017.avi
18,Gyesikrom AEDA Primary,Fri,Feb,10,11:35:10,2017,11,35,10,Gyesikrom AEDA Primary_Fri_Feb_10_11:35:10_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:35:10_2017.avi
19,Gyesikrom AEDA Primary,Fri,Feb,10,11:35:44,2017,11,35,44,Gyesikrom AEDA Primary_Fri_Feb_10_11:35:44_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:35:44_2017.avi
20,Gyesikrom AEDA Primary,Fri,Feb,10,11:41:30,2017,11,41,30,Gyesikrom AEDA Primary_Fri_Feb_10_11:41:30_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:41:30_2017.avi
21,Gyesikrom AEDA Primary,Fri,Feb,10,11:49:42,2017,11,49,42,Gyesikrom AEDA Primary_Fri_Feb_10_11:49:42_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:49:42_2017.avi
22,Gyesikrom AEDA Primary,Fri,Feb,10,11:51:12,2017,11,51,12,Gyesikrom AEDA Primary_Fri_Feb_10_11:51:12_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_11:51:12_2017.avi
23,Gyesikrom AEDA Primary,Fri,Feb,10,12:12:24,2017,12,12,24,Gyesikrom AEDA Primary_Fri_Feb_10_12:12:24_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:12:24_2017.avi
24,Gyesikrom AEDA Primary,Fri,Feb,10,12:12:56,2017,12,12,56,Gyesikrom AEDA Primary_Fri_Feb_10_12:12:56_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:12:56_2017.avi
25,Gyesikrom AEDA Primary,Fri,Feb,10,12:13:26,2017,12,13,26,Gyesikrom AEDA Primary_Fri_Feb_10_12:13:26_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:13:26_2017.avi
26,Gyesikrom AEDA Primary,Fri,Feb,10,12:13:58,2017,12,13,58,Gyesikrom AEDA Primary_Fri_Feb_10_12:13:58_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:13:58_2017.avi
27,Gyesikrom AEDA Primary,Fri,Feb,10,12:16:52,2017,12,16,52,Gyesikrom AEDA Primary_Fri_Feb_10_12:16:52_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:16:52_2017.avi
28,Gyesikrom AEDA Primary,Fri,Feb,10,12:19:40,2017,12,19,40,Gyesikrom AEDA Primary_Fri_Feb_10_12:19:40_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:19:40_2017.avi
29,Gyesikrom AEDA Primary,Fri,Feb,10,12:20:40,2017,12,20,40,Gyesikrom AEDA Primary_Fri_Feb_10_12:20:40_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:20:40_2017.avi
30,Gyesikrom AEDA Primary,Fri,Feb,10,12:21:12,2017,12,21,12,Gyesikrom AEDA Primary_Fri_Feb_10_12:21:12_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:21:12_2017.avi
31,Gyesikrom AEDA Primary,Fri,Feb,10,12:21:54,2017,12,21,54,Gyesikrom AEDA Primary_Fri_Feb_10_12:21:54_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:21:54_2017.avi
32,Gyesikrom AEDA Primary,Fri,Feb,10,12:22:24,2017,12,22,24,Gyesikrom AEDA Primary_Fri_Feb_10_12:22:24_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:22:24_2017.avi
33,Gyesikrom AEDA Primary,Fri,Feb,10,12:22:56,2017,12,22,56,Gyesikrom AEDA Primary_Fri_Feb_10_12:22:56_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:22:56_2017.avi
34,Gyesikrom AEDA Primary,Fri,Feb,10,12:23:30,2017,12,23,30,Gyesikrom AEDA Primary_Fri_Feb_10_12:23:30_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:23:30_2017.avi
35,Gyesikrom AEDA Primary,Fri,Feb,10,12:24:26,2017,12,24,26,Gyesikrom AEDA Primary_Fri_Feb_10_12:24:26_2017.avi,/Volumes/Seagate/MY_COPY/Gyesikrom AEDA Primary/Gyesikrom AEDA Primary_Fri_Feb_10_12:24:26_2017.avi
