,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Itifaqiya Islamic Primary,Fri,Feb,10,08:22:10,2017,8,22,10,Itifaqiya Islamic Primary_Fri_Feb_10_08:22:10_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_08:22:10_2017.avi
1,Itifaqiya Islamic Primary,Fri,Feb,10,08:36:24,2017,8,36,24,Itifaqiya Islamic Primary_Fri_Feb_10_08:36:24_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_08:36:24_2017.avi
2,Itifaqiya Islamic Primary,Fri,Feb,10,09:24:58,2017,9,24,58,Itifaqiya Islamic Primary_Fri_Feb_10_09:24:58_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_09:24:58_2017.avi
3,Itifaqiya Islamic Primary,Fri,Feb,10,09:34:00,2017,9,34,0,Itifaqiya Islamic Primary_Fri_Feb_10_09:34:00_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_09:34:00_2017.avi
4,Itifaqiya Islamic Primary,Fri,Feb,10,09:37:02,2017,9,37,2,Itifaqiya Islamic Primary_Fri_Feb_10_09:37:02_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_09:37:02_2017.avi
5,Itifaqiya Islamic Primary,Fri,Feb,10,09:37:38,2017,9,37,38,Itifaqiya Islamic Primary_Fri_Feb_10_09:37:38_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_09:37:38_2017.avi
6,Itifaqiya Islamic Primary,Fri,Feb,10,09:38:12,2017,9,38,12,Itifaqiya Islamic Primary_Fri_Feb_10_09:38:12_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_09:38:12_2017.avi
7,Itifaqiya Islamic Primary,Fri,Feb,10,09:38:42,2017,9,38,42,Itifaqiya Islamic Primary_Fri_Feb_10_09:38:42_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_09:38:42_2017.avi
8,Itifaqiya Islamic Primary,Fri,Feb,10,09:45:28,2017,9,45,28,Itifaqiya Islamic Primary_Fri_Feb_10_09:45:28_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_09:45:28_2017.avi
9,Itifaqiya Islamic Primary,Fri,Feb,10,09:46:06,2017,9,46,6,Itifaqiya Islamic Primary_Fri_Feb_10_09:46:06_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_09:46:06_2017.avi
10,Itifaqiya Islamic Primary,Fri,Feb,10,09:51:04,2017,9,51,4,Itifaqiya Islamic Primary_Fri_Feb_10_09:51:04_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_09:51:04_2017.avi
11,Itifaqiya Islamic Primary,Fri,Feb,10,10:03:26,2017,10,3,26,Itifaqiya Islamic Primary_Fri_Feb_10_10:03:26_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_10:03:26_2017.avi
12,Itifaqiya Islamic Primary,Fri,Feb,10,10:04:14,2017,10,4,14,Itifaqiya Islamic Primary_Fri_Feb_10_10:04:14_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_10:04:14_2017.avi
13,Itifaqiya Islamic Primary,Fri,Feb,10,10:34:22,2017,10,34,22,Itifaqiya Islamic Primary_Fri_Feb_10_10:34:22_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_10:34:22_2017.avi
14,Itifaqiya Islamic Primary,Fri,Feb,10,10:50:40,2017,10,50,40,Itifaqiya Islamic Primary_Fri_Feb_10_10:50:40_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_10:50:40_2017.avi
15,Itifaqiya Islamic Primary,Fri,Feb,10,11:00:58,2017,11,0,58,Itifaqiya Islamic Primary_Fri_Feb_10_11:00:58_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_11:00:58_2017.avi
16,Itifaqiya Islamic Primary,Fri,Feb,10,11:02:40,2017,11,2,40,Itifaqiya Islamic Primary_Fri_Feb_10_11:02:40_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_11:02:40_2017.avi
17,Itifaqiya Islamic Primary,Fri,Feb,10,11:03:14,2017,11,3,14,Itifaqiya Islamic Primary_Fri_Feb_10_11:03:14_2017.avi,/Volumes/Seagate/MY_COPY/Itifaqiya Islamic Primary/Itifaqiya Islamic Primary_Fri_Feb_10_11:03:14_2017.avi
