,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Kwabeng Anglican Primary,Fri,Feb,10,09:15:26,2017,9,15,26,Kwabeng Anglican Primary_Fri_Feb_10_09:15:26_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:15:26_2017.avi
1,Kwabeng Anglican Primary,Fri,Feb,10,09:16:54,2017,9,16,54,Kwabeng Anglican Primary_Fri_Feb_10_09:16:54_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:16:54_2017.avi
2,Kwabeng Anglican Primary,Fri,Feb,10,09:21:52,2017,9,21,52,Kwabeng Anglican Primary_Fri_Feb_10_09:21:52_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:21:52_2017.avi
3,Kwabeng Anglican Primary,Fri,Feb,10,09:23:32,2017,9,23,32,Kwabeng Anglican Primary_Fri_Feb_10_09:23:32_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:23:32_2017.avi
4,Kwabeng Anglican Primary,Fri,Feb,10,09:28:14,2017,9,28,14,Kwabeng Anglican Primary_Fri_Feb_10_09:28:14_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:28:14_2017.avi
5,Kwabeng Anglican Primary,Fri,Feb,10,09:28:46,2017,9,28,46,Kwabeng Anglican Primary_Fri_Feb_10_09:28:46_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:28:46_2017.avi
6,Kwabeng Anglican Primary,Fri,Feb,10,09:30:44,2017,9,30,44,Kwabeng Anglican Primary_Fri_Feb_10_09:30:44_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:30:44_2017.avi
7,Kwabeng Anglican Primary,Fri,Feb,10,09:31:20,2017,9,31,20,Kwabeng Anglican Primary_Fri_Feb_10_09:31:20_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:31:20_2017.avi
8,Kwabeng Anglican Primary,Fri,Feb,10,09:32:04,2017,9,32,4,Kwabeng Anglican Primary_Fri_Feb_10_09:32:04_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:32:04_2017.avi
9,Kwabeng Anglican Primary,Fri,Feb,10,09:32:38,2017,9,32,38,Kwabeng Anglican Primary_Fri_Feb_10_09:32:38_2017.avi,/Volumes/Seagate/MY_COPY/Kwabeng Anglican Primary/Kwabeng Anglican Primary_Fri_Feb_10_09:32:38_2017.avi
