,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Mankrong Methodist Primary,Fri,Feb,10,10:14:42,2017,10,14,42,Mankrong Methodist Primary_Fri_Feb_10_10:14:42_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_10:14:42_2017.avi
1,Mankrong Methodist Primary,Fri,Feb,10,10:21:32,2017,10,21,32,Mankrong Methodist Primary_Fri_Feb_10_10:21:32_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_10:21:32_2017.avi
2,Mankrong Methodist Primary,Fri,Feb,10,10:22:06,2017,10,22,6,Mankrong Methodist Primary_Fri_Feb_10_10:22:06_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_10:22:06_2017.avi
3,Mankrong Methodist Primary,Fri,Feb,10,10:24:50,2017,10,24,50,Mankrong Methodist Primary_Fri_Feb_10_10:24:50_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_10:24:50_2017.avi
4,Mankrong Methodist Primary,Fri,Feb,10,10:46:40,2017,10,46,40,Mankrong Methodist Primary_Fri_Feb_10_10:46:40_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_10:46:40_2017.avi
5,Mankrong Methodist Primary,Fri,Feb,10,10:47:30,2017,10,47,30,Mankrong Methodist Primary_Fri_Feb_10_10:47:30_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_10:47:30_2017.avi
6,Mankrong Methodist Primary,Fri,Feb,10,10:49:10,2017,10,49,10,Mankrong Methodist Primary_Fri_Feb_10_10:49:10_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_10:49:10_2017.avi
7,Mankrong Methodist Primary,Fri,Feb,10,10:56:52,2017,10,56,52,Mankrong Methodist Primary_Fri_Feb_10_10:56:52_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_10:56:52_2017.avi
8,Mankrong Methodist Primary,Fri,Feb,10,10:57:32,2017,10,57,32,Mankrong Methodist Primary_Fri_Feb_10_10:57:32_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_10:57:32_2017.avi
9,Mankrong Methodist Primary,Fri,Feb,10,12:08:52,2017,12,8,52,Mankrong Methodist Primary_Fri_Feb_10_12:08:52_2017.avi,/Volumes/Seagate/MY_COPY/Mankrong Methodist Primary/Mankrong Methodist Primary_Fri_Feb_10_12:08:52_2017.avi
