,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Ninta Methodist,Fri,Feb,10,08:16:24,2017,8,16,24,Ninta Methodist_Fri_Feb_10_08:16:24_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_10_08:16:24_2017.avi
1,Ninta Methodist,Fri,Feb,10,08:55:40,2017,8,55,40,Ninta Methodist_Fri_Feb_10_08:55:40_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_10_08:55:40_2017.avi
2,Ninta Methodist,Fri,Feb,10,11:57:10,2017,11,57,10,Ninta Methodist_Fri_Feb_10_11:57:10_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_10_11:57:10_2017.avi
3,Ninta Methodist,Fri,Feb,10,11:58:56,2017,11,58,56,Ninta Methodist_Fri_Feb_10_11:58:56_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_10_11:58:56_2017.avi
4,Ninta Methodist,Fri,Feb,17,08:39:38,2017,8,39,38,Ninta Methodist_Fri_Feb_17_08:39:38_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_17_08:39:38_2017.avi
5,Ninta Methodist,Fri,Feb,17,08:59:46,2017,8,59,46,Ninta Methodist_Fri_Feb_17_08:59:46_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_17_08:59:46_2017.avi
6,Ninta Methodist,Fri,Feb,17,09:00:16,2017,9,0,16,Ninta Methodist_Fri_Feb_17_09:00:16_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_17_09:00:16_2017.avi
7,Ninta Methodist,Fri,Feb,17,09:09:52,2017,9,9,52,Ninta Methodist_Fri_Feb_17_09:09:52_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_17_09:09:52_2017.avi
8,Ninta Methodist,Fri,Feb,17,09:10:28,2017,9,10,28,Ninta Methodist_Fri_Feb_17_09:10:28_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_17_09:10:28_2017.avi
9,Ninta Methodist,Fri,Feb,17,09:11:38,2017,9,11,38,Ninta Methodist_Fri_Feb_17_09:11:38_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_17_09:11:38_2017.avi
10,Ninta Methodist,Fri,Feb,17,09:15:44,2017,9,15,44,Ninta Methodist_Fri_Feb_17_09:15:44_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_17_09:15:44_2017.avi
11,Ninta Methodist,Fri,Feb,17,09:16:14,2017,9,16,14,Ninta Methodist_Fri_Feb_17_09:16:14_2017.avi,/Volumes/Seagate/MY_COPY/Ninta Methodist/Ninta Methodist_Fri_Feb_17_09:16:14_2017.avi
