,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Nsabaa AME Zion,Fri,Feb,10,07:35:26,2017,7,35,26,Nsabaa AME Zion_Fri_Feb_10_07:35:26_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_07:35:26_2017.avi
1,Nsabaa AME Zion,Fri,Feb,10,07:38:06,2017,7,38,6,Nsabaa AME Zion_Fri_Feb_10_07:38:06_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_07:38:06_2017.avi
2,Nsabaa AME Zion,Fri,Feb,10,07:45:56,2017,7,45,56,Nsabaa AME Zion_Fri_Feb_10_07:45:56_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_07:45:56_2017.avi
3,Nsabaa AME Zion,Fri,Feb,10,07:56:48,2017,7,56,48,Nsabaa AME Zion_Fri_Feb_10_07:56:48_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_07:56:48_2017.avi
4,Nsabaa AME Zion,Fri,Feb,10,07:58:20,2017,7,58,20,Nsabaa AME Zion_Fri_Feb_10_07:58:20_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_07:58:20_2017.avi
5,Nsabaa AME Zion,Fri,Feb,10,08:27:18,2017,8,27,18,Nsabaa AME Zion_Fri_Feb_10_08:27:18_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_08:27:18_2017.avi
6,Nsabaa AME Zion,Fri,Feb,10,08:28:02,2017,8,28,2,Nsabaa AME Zion_Fri_Feb_10_08:28:02_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_08:28:02_2017.avi
7,Nsabaa AME Zion,Fri,Feb,10,08:31:20,2017,8,31,20,Nsabaa AME Zion_Fri_Feb_10_08:31:20_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_08:31:20_2017.avi
8,Nsabaa AME Zion,Fri,Feb,10,08:31:52,2017,8,31,52,Nsabaa AME Zion_Fri_Feb_10_08:31:52_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_08:31:52_2017.avi
9,Nsabaa AME Zion,Fri,Feb,10,08:40:14,2017,8,40,14,Nsabaa AME Zion_Fri_Feb_10_08:40:14_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_08:40:14_2017.avi
10,Nsabaa AME Zion,Fri,Feb,10,08:40:50,2017,8,40,50,Nsabaa AME Zion_Fri_Feb_10_08:40:50_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_08:40:50_2017.avi
11,Nsabaa AME Zion,Fri,Feb,10,08:41:22,2017,8,41,22,Nsabaa AME Zion_Fri_Feb_10_08:41:22_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_08:41:22_2017.avi
12,Nsabaa AME Zion,Fri,Feb,10,08:42:04,2017,8,42,4,Nsabaa AME Zion_Fri_Feb_10_08:42:04_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_08:42:04_2017.avi
13,Nsabaa AME Zion,Fri,Feb,10,08:56:22,2017,8,56,22,Nsabaa AME Zion_Fri_Feb_10_08:56:22_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_08:56:22_2017.avi
14,Nsabaa AME Zion,Fri,Feb,10,09:03:40,2017,9,3,40,Nsabaa AME Zion_Fri_Feb_10_09:03:40_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_09:03:40_2017.avi
15,Nsabaa AME Zion,Fri,Feb,10,09:40:08,2017,9,40,8,Nsabaa AME Zion_Fri_Feb_10_09:40:08_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_09:40:08_2017.avi
16,Nsabaa AME Zion,Fri,Feb,10,09:41:18,2017,9,41,18,Nsabaa AME Zion_Fri_Feb_10_09:41:18_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_09:41:18_2017.avi
17,Nsabaa AME Zion,Fri,Feb,10,09:54:20,2017,9,54,20,Nsabaa AME Zion_Fri_Feb_10_09:54:20_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_09:54:20_2017.avi
18,Nsabaa AME Zion,Fri,Feb,10,10:06:46,2017,10,6,46,Nsabaa AME Zion_Fri_Feb_10_10:06:46_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:06:46_2017.avi
19,Nsabaa AME Zion,Fri,Feb,10,10:09:54,2017,10,9,54,Nsabaa AME Zion_Fri_Feb_10_10:09:54_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:09:54_2017.avi
20,Nsabaa AME Zion,Fri,Feb,10,10:13:36,2017,10,13,36,Nsabaa AME Zion_Fri_Feb_10_10:13:36_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:13:36_2017.avi
21,Nsabaa AME Zion,Fri,Feb,10,10:14:12,2017,10,14,12,Nsabaa AME Zion_Fri_Feb_10_10:14:12_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:14:12_2017.avi
22,Nsabaa AME Zion,Fri,Feb,10,10:23:00,2017,10,23,0,Nsabaa AME Zion_Fri_Feb_10_10:23:00_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:23:00_2017.avi
23,Nsabaa AME Zion,Fri,Feb,10,10:23:40,2017,10,23,40,Nsabaa AME Zion_Fri_Feb_10_10:23:40_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:23:40_2017.avi
24,Nsabaa AME Zion,Fri,Feb,10,10:24:28,2017,10,24,28,Nsabaa AME Zion_Fri_Feb_10_10:24:28_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:24:28_2017.avi
25,Nsabaa AME Zion,Fri,Feb,10,10:25:04,2017,10,25,4,Nsabaa AME Zion_Fri_Feb_10_10:25:04_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:25:04_2017.avi
26,Nsabaa AME Zion,Fri,Feb,10,10:25:38,2017,10,25,38,Nsabaa AME Zion_Fri_Feb_10_10:25:38_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:25:38_2017.avi
27,Nsabaa AME Zion,Fri,Feb,10,10:26:22,2017,10,26,22,Nsabaa AME Zion_Fri_Feb_10_10:26:22_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:26:22_2017.avi
28,Nsabaa AME Zion,Fri,Feb,10,10:40:36,2017,10,40,36,Nsabaa AME Zion_Fri_Feb_10_10:40:36_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:40:36_2017.avi
29,Nsabaa AME Zion,Fri,Feb,10,10:41:08,2017,10,41,8,Nsabaa AME Zion_Fri_Feb_10_10:41:08_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:41:08_2017.avi
30,Nsabaa AME Zion,Fri,Feb,10,10:41:56,2017,10,41,56,Nsabaa AME Zion_Fri_Feb_10_10:41:56_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:41:56_2017.avi
31,Nsabaa AME Zion,Fri,Feb,10,10:58:10,2017,10,58,10,Nsabaa AME Zion_Fri_Feb_10_10:58:10_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:58:10_2017.avi
32,Nsabaa AME Zion,Fri,Feb,10,10:58:46,2017,10,58,46,Nsabaa AME Zion_Fri_Feb_10_10:58:46_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:58:46_2017.avi
33,Nsabaa AME Zion,Fri,Feb,10,10:59:20,2017,10,59,20,Nsabaa AME Zion_Fri_Feb_10_10:59:20_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:59:20_2017.avi
34,Nsabaa AME Zion,Fri,Feb,10,10:59:54,2017,10,59,54,Nsabaa AME Zion_Fri_Feb_10_10:59:54_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_10:59:54_2017.avi
35,Nsabaa AME Zion,Fri,Feb,10,11:00:24,2017,11,0,24,Nsabaa AME Zion_Fri_Feb_10_11:00:24_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:00:24_2017.avi
36,Nsabaa AME Zion,Fri,Feb,10,11:01:06,2017,11,1,6,Nsabaa AME Zion_Fri_Feb_10_11:01:06_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:01:06_2017.avi
37,Nsabaa AME Zion,Fri,Feb,10,11:01:38,2017,11,1,38,Nsabaa AME Zion_Fri_Feb_10_11:01:38_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:01:38_2017.avi
38,Nsabaa AME Zion,Fri,Feb,10,11:02:38,2017,11,2,38,Nsabaa AME Zion_Fri_Feb_10_11:02:38_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:02:38_2017.avi
39,Nsabaa AME Zion,Fri,Feb,10,11:04:28,2017,11,4,28,Nsabaa AME Zion_Fri_Feb_10_11:04:28_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:04:28_2017.avi
40,Nsabaa AME Zion,Fri,Feb,10,11:05:00,2017,11,5,0,Nsabaa AME Zion_Fri_Feb_10_11:05:00_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:05:00_2017.avi
41,Nsabaa AME Zion,Fri,Feb,10,11:05:32,2017,11,5,32,Nsabaa AME Zion_Fri_Feb_10_11:05:32_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:05:32_2017.avi
42,Nsabaa AME Zion,Fri,Feb,10,11:06:06,2017,11,6,6,Nsabaa AME Zion_Fri_Feb_10_11:06:06_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:06:06_2017.avi
43,Nsabaa AME Zion,Fri,Feb,10,11:06:38,2017,11,6,38,Nsabaa AME Zion_Fri_Feb_10_11:06:38_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:06:38_2017.avi
44,Nsabaa AME Zion,Fri,Feb,10,11:07:08,2017,11,7,8,Nsabaa AME Zion_Fri_Feb_10_11:07:08_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:07:08_2017.avi
45,Nsabaa AME Zion,Fri,Feb,10,11:07:40,2017,11,7,40,Nsabaa AME Zion_Fri_Feb_10_11:07:40_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:07:40_2017.avi
46,Nsabaa AME Zion,Fri,Feb,10,11:08:16,2017,11,8,16,Nsabaa AME Zion_Fri_Feb_10_11:08:16_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:08:16_2017.avi
47,Nsabaa AME Zion,Fri,Feb,10,11:08:56,2017,11,8,56,Nsabaa AME Zion_Fri_Feb_10_11:08:56_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:08:56_2017.avi
48,Nsabaa AME Zion,Fri,Feb,10,11:09:26,2017,11,9,26,Nsabaa AME Zion_Fri_Feb_10_11:09:26_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:09:26_2017.avi
49,Nsabaa AME Zion,Fri,Feb,10,11:10:00,2017,11,10,0,Nsabaa AME Zion_Fri_Feb_10_11:10:00_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:10:00_2017.avi
50,Nsabaa AME Zion,Fri,Feb,10,11:19:26,2017,11,19,26,Nsabaa AME Zion_Fri_Feb_10_11:19:26_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa AME Zion/Nsabaa AME Zion_Fri_Feb_10_11:19:26_2017.avi
