,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Nsabaa Methodist,Fri,Feb,10,07:59:24,2017,7,59,24,Nsabaa Methodist_Fri_Feb_10_07:59:24_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_07:59:24_2017.avi
1,Nsabaa Methodist,Fri,Feb,10,08:01:04,2017,8,1,4,Nsabaa Methodist_Fri_Feb_10_08:01:04_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_08:01:04_2017.avi
2,Nsabaa Methodist,Fri,Feb,10,08:03:08,2017,8,3,8,Nsabaa Methodist_Fri_Feb_10_08:03:08_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_08:03:08_2017.avi
3,Nsabaa Methodist,Fri,Feb,10,08:50:20,2017,8,50,20,Nsabaa Methodist_Fri_Feb_10_08:50:20_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_08:50:20_2017.avi
4,Nsabaa Methodist,Fri,Feb,10,08:51:14,2017,8,51,14,Nsabaa Methodist_Fri_Feb_10_08:51:14_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_08:51:14_2017.avi
5,Nsabaa Methodist,Fri,Feb,10,09:03:48,2017,9,3,48,Nsabaa Methodist_Fri_Feb_10_09:03:48_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_09:03:48_2017.avi
6,Nsabaa Methodist,Fri,Feb,10,09:33:02,2017,9,33,2,Nsabaa Methodist_Fri_Feb_10_09:33:02_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_09:33:02_2017.avi
7,Nsabaa Methodist,Fri,Feb,10,09:35:30,2017,9,35,30,Nsabaa Methodist_Fri_Feb_10_09:35:30_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_09:35:30_2017.avi
8,Nsabaa Methodist,Fri,Feb,10,09:44:34,2017,9,44,34,Nsabaa Methodist_Fri_Feb_10_09:44:34_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_09:44:34_2017.avi
9,Nsabaa Methodist,Fri,Feb,10,09:45:24,2017,9,45,24,Nsabaa Methodist_Fri_Feb_10_09:45:24_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_09:45:24_2017.avi
10,Nsabaa Methodist,Fri,Feb,10,09:53:46,2017,9,53,46,Nsabaa Methodist_Fri_Feb_10_09:53:46_2017.avi,/Volumes/Seagate/MY_COPY/Nsabaa Methodist/Nsabaa Methodist_Fri_Feb_10_09:53:46_2017.avi
