,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Nuriya DA Primary Bawijiase,Fri,Feb,10,08:17:02,2017,8,17,2,Nuriya DA Primary Bawijiase_Fri_Feb_10_08:17:02_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_08:17:02_2017.avi
1,Nuriya DA Primary Bawijiase,Fri,Feb,10,09:09:30,2017,9,9,30,Nuriya DA Primary Bawijiase_Fri_Feb_10_09:09:30_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_09:09:30_2017.avi
2,Nuriya DA Primary Bawijiase,Fri,Feb,10,09:11:38,2017,9,11,38,Nuriya DA Primary Bawijiase_Fri_Feb_10_09:11:38_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_09:11:38_2017.avi
3,Nuriya DA Primary Bawijiase,Fri,Feb,10,09:24:06,2017,9,24,6,Nuriya DA Primary Bawijiase_Fri_Feb_10_09:24:06_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_09:24:06_2017.avi
4,Nuriya DA Primary Bawijiase,Fri,Feb,10,09:24:50,2017,9,24,50,Nuriya DA Primary Bawijiase_Fri_Feb_10_09:24:50_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_09:24:50_2017.avi
5,Nuriya DA Primary Bawijiase,Fri,Feb,10,09:47:56,2017,9,47,56,Nuriya DA Primary Bawijiase_Fri_Feb_10_09:47:56_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_09:47:56_2017.avi
6,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:01:36,2017,10,1,36,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:01:36_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:01:36_2017.avi
7,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:02:24,2017,10,2,24,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:02:24_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:02:24_2017.avi
8,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:23:28,2017,10,23,28,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:23:28_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:23:28_2017.avi
9,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:24:06,2017,10,24,6,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:24:06_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:24:06_2017.avi
10,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:24:38,2017,10,24,38,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:24:38_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:24:38_2017.avi
11,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:25:16,2017,10,25,16,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:25:16_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:25:16_2017.avi
12,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:25:58,2017,10,25,58,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:25:58_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:25:58_2017.avi
13,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:26:38,2017,10,26,38,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:26:38_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:26:38_2017.avi
14,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:34:52,2017,10,34,52,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:34:52_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:34:52_2017.avi
15,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:35:28,2017,10,35,28,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:35:28_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:35:28_2017.avi
16,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:35:58,2017,10,35,58,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:35:58_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:35:58_2017.avi
17,Nuriya DA Primary Bawijiase,Fri,Feb,10,10:36:30,2017,10,36,30,Nuriya DA Primary Bawijiase_Fri_Feb_10_10:36:30_2017.avi,/Volumes/Seagate/MY_COPY/Nuriya DA Primary Bawijiase/Nuriya DA Primary Bawijiase_Fri_Feb_10_10:36:30_2017.avi
