,School Name,Day,Month,Date,Time,Year,Hour,Minute,Second,File Name,Full Path
0,Rev. Erickson,Fri,Feb,16,10:13:36,2018,10,13,36,Rev. Erickson_Fri_Feb_16_10:13:36_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_10:13:36_2018.avi
1,Rev. Erickson,Fri,Feb,16,12:13:32,2018,12,13,32,Rev. Erickson_Fri_Feb_16_12:13:32_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_12:13:32_2018.avi
2,Rev. Erickson,Fri,Feb,16,12:21:10,2018,12,21,10,Rev. Erickson_Fri_Feb_16_12:21:10_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_12:21:10_2018.avi
3,Rev. Erickson,Fri,Feb,16,12:21:46,2018,12,21,46,Rev. Erickson_Fri_Feb_16_12:21:46_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_12:21:46_2018.avi
4,Rev. Erickson,Fri,Feb,16,13:08:46,2018,13,8,46,Rev. Erickson_Fri_Feb_16_13:08:46_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_13:08:46_2018.avi
5,Rev. Erickson,Fri,Feb,16,13:10:14,2018,13,10,14,Rev. Erickson_Fri_Feb_16_13:10:14_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_13:10:14_2018.avi
6,Rev. Erickson,Fri,Feb,16,13:10:50,2018,13,10,50,Rev. Erickson_Fri_Feb_16_13:10:50_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_13:10:50_2018.avi
7,Rev. Erickson,Fri,Feb,16,13:11:44,2018,13,11,44,Rev. Erickson_Fri_Feb_16_13:11:44_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_13:11:44_2018.avi
8,Rev. Erickson,Fri,Feb,16,13:12:22,2018,13,12,22,Rev. Erickson_Fri_Feb_16_13:12:22_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_13:12:22_2018.avi
9,Rev. Erickson,Fri,Feb,16,13:13:06,2018,13,13,6,Rev. Erickson_Fri_Feb_16_13:13:06_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_13:13:06_2018.avi
10,Rev. Erickson,Fri,Feb,16,13:13:40,2018,13,13,40,Rev. Erickson_Fri_Feb_16_13:13:40_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_13:13:40_2018.avi
11,Rev. Erickson,Fri,Feb,16,13:14:16,2018,13,14,16,Rev. Erickson_Fri_Feb_16_13:14:16_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_13:14:16_2018.avi
12,Rev. Erickson,Fri,Feb,16,13:14:48,2018,13,14,48,Rev. Erickson_Fri_Feb_16_13:14:48_2018.avi,/Volumes/Seagate/MY_COPY/Rev. Erickson/Rev. Erickson_Fri_Feb_16_13:14:48_2018.avi
